content,sentimentActual,sentiment_predicted
bore i have a headache,worry,worry
headache goodnight,neutral,neutral
feel like crap whenever she lay down I hate heartburn amp backaches,sadness,worry
I miss you It s lonely and empty without you,sadness,neutral
NOICE I realise that after exams I have 2 more weeks Forgot about the whole 2 weeks of Unit 4 in term 2 thing,sadness,worry
justwatched like 5 straight episodes of escape on ID Discovery channel A guy imprison 6 women kill 2 and cook them,neutral,worry
Everyone,sadness,worry
have go to bed age ago damn you tedtalks Got ta get up early too,empty,neutral
only 0 2 Just give me my 3 point,neutral,worry
make the most of pork products while you can they ve fuck stop import it here in dubai bad time,hate,worry
build fail something be not right in the big scheme of things,worry,neutral
wife take my last ï ½20 no McDonalds breakfast for me today,worry,worry
wish I be go to we love sound,love,worry
sisser be move tomorrow and of make me sad actually I guess technically in a couple of hours since it s already Friday,sadness,worry
keep on fall asleep when I m suppose to be awake I miss my babyy,worry,worry
why not,neutral,neutral
my way to nottingham I so don t want to be go,worry,worry
churchill down for me tomorrow,surprise,neutral
Chicago but why isn t my ride call me back,neutral,worry
goodnight Got ta do Chuck E Cheese tomorrow follow kindergarten shots and physical Bla,neutral,worry
need to wake up earlier so I m actually tire enough to fall asleep,worry,worry
Bahh the police end the party 5 Just when i be start,surprise,worry
get to catch the bus to work,neutral,worry
that be so sad,sadness,neutral
omg you ve never see the Ring its a creppy ass movie,surprise,neutral
mann get an iphone im jealous,surprise,neutral
funny u havent show me any love yet at all,love,neutral
absolutely nothin,neutral,neutral
I luv urs admit niley with a kiss but then they change their mind haha amp demi sterling not jemi but still cute,love,neutral
If it make you feel better I lose 10 overnight cause I post a picture of a baby,neutral,neutral
still sick sigh,sadness,worry
Oh poor beths friend i m not naughty i m just unperfect,worry,neutral
just call me a big bucket of ugly wish me luck for my audition tweet,surprise,worry
feel really weird,sadness,worry
I m try to self learn photoshop but it s not go so well,surprise,worry
Ever see the tv show Dead Like Me I die and become a grim reaper Taking people s souls after accidents,worry,neutral
I m sorry I m think about you and hope the week get better,neutral,worry
Steam Punlk fashion show at Anime North and for the first year since TorCon we aren t back til amp miss it,worry,worry
throat hurt gon na go read and go to bed text mee,sadness,neutral
be die to hangout on a Friday afternoon,worry,neutral
it s cold,worry,worry
mann get an iphone im jealous,neutral,neutral
im really frustrate,sadness,worry
Aww you should ve YouTubed it,neutral,worry
how come mcdonalds take so long to deliver my food,sadness,worry
Ya the weather have be super weird here It look like it be gon na rain today but of course it didn t darnitt,surprise,worry
much more injustice than we can imagine now It will get worse before it get better I be afraid No doubt here Sorry,sadness,worry
miss nostalgia everyone please kick tushar,neutral,neutral
kind of sick n tire of the bs that guy dish out,sadness,neutral
color day tomorrow last time I have a lot to remember for tomorrow but I bet I ll forget _,worry,neutral
idk lol my head hurt rly bad amp so do my stomach hmm personally i think its from all the s ive have 2 deal wit,sadness,worry
keytar BUT THEY ARE EXPENSIVE,worry,neutral
facebook just clear out my whole survey and i be on the last q this night get better and better what else be next,hate,worry
good or should i say bad afternoon,neutral,neutral
I ve get number 10 get low,neutral,worry
his twitastic fwiends,worry,neutral
take my advice lookin through the phone cost me my relationship,worry,worry
play street fighter IV and Seth Raped me,fun,worry
weird be at the guy s house without them here I don t like it,hate,worry
waste deodorant i aint goin no where i aint havin company let me funk it to ya,surprise,worry
I wish I know The curse of Tumblr,neutral,worry
a beautiful day shame I ve get to spend it in an office,sadness,neutral
come with a q quot any recommend hairdresser U r full and they suggest me to others quot His ego talk and I m in d line,empty,neutral
exam tomorrow,neutral,neutral
oh i know how budget be,worry,worry
finish watch the series return of the Chasers War on Everything really quite crap compare to how it use to be,sadness,worry
just realize haven t check Twitter since 9am when I saw my to do list Good news get lot do Bad news don t know where day go,sadness,worry
miss my bestfriend now she leave school,sadness,worry
my earphones just shock me,surprise,worry
I m try to sleep It s not work,empty,worry
hurt,sadness,worry
from grimsby it suck bein back but be amazin wknd anyway,neutral,worry
an employee tonight,sadness,neutral
haha its under 18 so ive get no one to go with curse none of my friends like TAI lol,neutral,worry
weather but no bike,worry,neutral
all The water heat s pack up so i can t have a bath I REALLY want a bath,sadness,worry
Girls be confuse,sadness,neutral
lyrically_Me Why would you do that to me,sadness,worry
see u shouldn t be comin 4 the city u should be comin 4 me,love,worry
in the city be never good,sadness,worry
Aww maybe i traumatize her,neutral,worry
Flights already book plus its GGD2 1st birthday Can t miss that especially as we miss GGD1,happiness,worry
Where I live all the small market deliver their day old bread to the food bank but time be really tough even for me,hate,worry
have drink hickups I have a pretty lay back great night But I still can t help but be mad about the situation I put myself in,worry,worry
do i think i have to take medicine cuz i be laugh to hard my head should not be in this much pain i think laughter be gud,worry,worry
Too much happen today I really need a hug,neutral,worry
i wan na go for taekwando,enthusiasm,worry
Leno for the second to last time on the Tonight Show,enthusiasm,neutral
Ur pic be go,neutral,neutral
tongue still hurt I need to sleep,worry,worry
do you twitter,neutral,worry
Chris and I be stay in Glasgow instead cause there be absolutely no accomodation in Edinburgh due to the marathon,sadness,worry
can t wait till it s Sunday a new episode of Supernatural but then there be only 6 episodes leave now,love,relief
aww ok lol hopefully by than im still here and not back over in the state,neutral,worry
Sad tweet be sad,sadness,neutral
a little lie down not feel great today boo,worry,neutral
not at my workplace but a short sleeved shirt be absolutely necessary today,neutral,worry
Have decide I just can t stand Alltop spam any longer,sadness,worry
from all that anal sex i forget the lube damn may need to go to the E R,worry,worry
madden with austin Im go to miss him,worry,worry
miss rich,sadness,neutral
of the century come I can feel it Fuck,sadness,worry
to know that I get the Silver Award I want the GOLD award I hate be second best,sadness,worry
PLEASE MAKE THE LIVECHAT ON SATURDAY CUS I HAVE TO GO TO SCHOOL ON WEEKDAYS 5 6 AM here,worry,worry
want to go back to bed but have a child to look after I may sleep all of sunday my enevitable hangover may require it,worry,worry
just get mad tire so no sex sleepytime night,worry,worry
TWITTER SHIT BORES ME NOW I C Y I HAVEN T BEEN ON HERE IN A MONTH,boredom,worry
anyone know how to convert 6 est to Aus time ROFL xD fuck radio disney,neutral,worry
from ice cream tweet up my very first tweet up No pics because my camera battery die last night and i forget to charge it,sadness,worry
ok that s subtly say i m no longer a fave temme 1 thing do the firangs steal your vocab ur eat word and how,neutral,neutral
bye Scotty i m gon na miss you ily lt 33,worry,neutral
Comment On Jowki I wish I have the time to blog more often,worry,worry
can get a temporary tattoo I would be totally sad if he die,worry,worry
gray i so feel neglect,worry,worry
oh so you know how I feel then Damn representative for bank of america try to make it sound like I do it What a b,worry,worry
tire and cold and runny,worry,neutral
Dun wan na travel all the way there for lunch now But yeah i have be there Nice place Missing Shan e Punjab though,sadness,worry
a mass cleanout of my room before rearrange it Just send mother out to buy me a bin and a bookshelf since mine suck Bad mood,hate,neutral
rob get lucky that game he beat me 209 205,sadness,worry
really sick watch the fifth element and about to smoke a cigg ugh i hate colds,hate,neutral
Bah I don t think FB fan page will get to 7500,surprise,worry
save me i dont want to pack anymore,worry,worry
from school have the shitest day today,sadness,worry
The sweety sit on the table this morning Just wake up Very sweet Oh btw I think i ll be home around 7 pm Xxx,love,worry
on knee will make it hard to skate tomorrow,worry,neutral
lol When I go to buy my new laptop in Feb I already know lol but I look anyway and walk away sadfaced,sadness,worry
no internets until THURSTAG after saturday i have a feel i will become 800x more productive during those days,neutral,worry
by myself Everyone take the good seat,sadness,neutral
FREE WIFI My vacay be ruin,worry,worry
Ahh Well at least I m up to,sadness,worry
Maatt Havent speak to you in age dudee Dont forget bout ur Aussie fan lool Love ya xx,love,worry
ME oh wait wrong state,sadness,worry
fuck cold here north now It be like 77 DF yesterday where I be here it s 37 4,surprise,worry
u miss ur frnds Hear to quot Manasellaam quot From Kulir100 Degree movie Its amaze Nanbargale Miss u guy,happiness,neutral
to sleep without any pills Not work 3am and wide awake But now it s too late to take them because I ll sleep til 3pm,worry,worry
will die soon What to do now Oh no,worry,worry
be that mean,sadness,neutral
my power cable at home today,worry,neutral
eye seem bad Just fork out on new wash machine so why not a vet bill to top it off eh,surprise,neutral
can t sleep I can t find my grandmother s quilt or locket I m sick at myself cause I may have lose them somehow Or they be steal,worry,worry
I think I be go to see a pic of your clean car,worry,worry
i want to but im not over 18 and t amp c say over 18 s only wan na make an exception for me,worry,neutral
No but it do amaze things with keep all your online conversations in one place unfortunately that place be Google,worry,worry
sorry be only in spanish for the moment,sadness,worry
Yayy but thats sp far away,worry,neutral
clear out my DVR get rid of it tomorrw,fun,worry
that F F F break up,hate,neutral
sign up for an account on a political website so I could post a comment but it isn t work,neutral,worry
Come I Can Never Sleep Past Not Good,neutral,neutral
