Content,Emotion_actual,Emotion_predicted
miss Voobys,neutral,neutral
Neither be ELP,neutral,neutral
dude that be my favorite sandwich place ever umm do you take PICTURES,happiness,neutral
sad that shin ae get marry and it wasn t to alex,worry,sadness
Sure you will tweet about this when you re back but news be abuzz about TR Knight s leave quot confirm quot today Muy triste,worry,sadness
ohh thursday i have exams all day what about wednesday,sadness,worry
there be a mix up with my dentist appt this afternoon so they reschedule me for tomorrow 9am,neutral,worry
gcrush i be just think about how excite i be for you guy to move but then i realize how sad i be to see you go,sadness,sadness
moorning people sun be out definitly spring now we have our first spring hail storm my car have dimple now,worry,neutral
I love those it sakey USB stick We only have the 4GB in Australia,sadness,neutral
prince and sleepy sleep my nightly routine get ta go to Dmv early tmrw,worry,sadness
hulu desktop have totally screw up my ability to talk to a particular port on one of our dev servers so i can t watch and code,hate,worry
emmarler i be jealous of your mom talk to i want to see you all our twitter be make me miss you,worry,sadness
can t sleep I keep think about the puppy I play with today,worry,sadness
I m suppose to be sleep But i get some much to do amp i get that one part of the song stick in my head quot your a jerk iknow quot blaahh,worry,sadness
what s go on sweetheart,neutral,neutral
can it be so freak difficult to get a system wide spellchecker Shit I d settle for an office suite one Stupid unhelpful Windows,neutral,sadness
one month due to summer strawberry be not availble in the Chennai market,worry,neutral
work at 6am Got ta go to bed soon,neutral,neutral
correct I ADORE him I just pluck him up and put him under my arm cuz he be cryin All better now Hahaha,love,sadness
hii im on my ipod i cant fall asleep,sadness,neutral
wan na work 11 830 tomorrow but i get pay,sadness,neutral
sad coz i wasnt able to play with the guy,sadness,neutral
n o   t e x t,neutral,neutral
cayogial i want to come to BZ this summer not so sure anymore a teacher s life in the summer SUCKS,hate,neutral
